"reportante","tipo_de_testiga","tipo_de_victima","edad_victima","sexo_asignado_nacer","identidad_genero","orientacion_sexual","expresion_genero","tipo_de_agresora","tipo_de_agresion","subtipo_de_agresion","descripcion_incidente","dia_incidente","hora_incidente","fecha_reporte_visible","entidad","ciudad","tipo_de_lugar","subtipo_de_lugar","latitud","longitud","reporte_previo","reporte_previo_quien","satisfaccion_reporte_previo","razon_no_reporte_previo","estado_civil","nacionalidad","escolaridad","ocupacion","ingreso","seguridad_social","identidades","id"
"Personal","Personal","Determinada","De 26 a 30 años","Hombre","Hombre cis","Gay","Masculina","Patrona o fuente de ingreso privada","Laboral","La víctima no fue contratada por su orientación sexual, identidad o expresión de género","No fui contratado por VIH y tuberculosis. Me discriminaron. La de R.H. me empezó a dar largas y me preguntó que si no había problema con el polvo del almacén y le dije que no y me respondió que hablaría con la administradora y después me dejó de responder los mensajes. Al cuatro de octubre, que fue la fecha de mi último contacto con ella, le pregunté si había noticias y me respondió que no, no le habían dicho nada. ",2021-09-24,"13:00:00",2021-11-17 03:01:47,"Jalisco","Tonalá","Privado","Centro comercial o establecimiento comercial",20.6180832,-103.2493262,"Si","Autoridad gubernamental",2,,,,,,,,,4397
"Personal","Personal","Determinada","De 31 a 35 años","Hombre","Hombre cis","Gay","Un poco masculina","Vecina","A la intimidad","La víctima fue expuesta en su vida privada o datos personales","El 30 de octubre, un amigo me dijo 'ya viste lo que publicó' una persona que conocíamos, y me mostró que había publicado fotos de mi casa. Puso mi domicilio y afirmó que me subía a su azotea por las noches a tener sexo y que su esposa me veía haciendo eso, pero es imposible que yo pueda subir a su azotea porque esta muy alta, eso nunca pasó y por mensaje me empezó amenazar de muerte. En la publicación decía que yo había envenenado a sus gatos, pero esto tampoco es cierto, en mi casa tenemos un problema de ratas y esta persona deja a sus gatos sueltos. También la publicación incitó a que otras personas me empezaran amenazar de muerte e hicieran comentarios hirientes hacia mi persona. Me decían que “maldito hijo de puta, que me iba a morir, que me iba a morir y que me iba a dar una visita”. Ya tengo miedo de salir, mis papás me tienen que esconder cada vez que salgo en su camioneta, por miedo a lo que me pueda hacer esta persona, pues es alguien muy agresivo.",2021-10-30,"16:00:00",2021-11-17 03:04:28,"Jalisco","Zapopan","Redes sociales o medios de comunicación","Redes sociales",20.7934685,-103.4736284,"Si","Autoridad gubernamental",2,,,,,,,,,4398
"Personal","Personal","Determinada","De 31 a 35 años","Mujer","Mujer cis","Lesbiana","Femenina","Servidora pública","Impedimento de entrada, negación de servicios o derechos","La víctima fue negada en la prestación de un servicio público","Al ser madre no gestante, me negaron registrar a mi hija.",2016-01-20,"11:00:00",2021-11-17 03:05:16,"Jalisco","Tlaquepaque","Público","Oficina de Gobierno",20.5814665,-103.3309952,"Si","Autoridad gubernamental",1,,,,,,,,,4399
"Personal","Personal","Determinada","De 26 a 30 años","Mujer","Mujer cis","Lesbiana","Neutra","Familiar o cohabitante","Física","La víctima fue agredida físicamente","Mi tío, mi tía y sus hijos me golpearon por ser gay. Ellos son de una familia de Testigos de Jehová y me corrieron a patadas. No me dejaron volver a ver a mis abuelos.",2018-06-16,"18:00:00",2021-11-17 03:07:16,"Ciudad de México","Venustiano Carranza","Privado","Casa propia o casa familiar",19.4289209,-99.0539973,"No",,,"No sabía en dónde denunciarlo",,,,,,,,4400
"Personal","Personal","Determinada","De 18 a 25 años","Hombre","Hombre cis","Gay","Un poco femenina","Familiar o cohabitante","Física","La víctima fue agredida físicamente","Tengo 20 años de edad y vivo en una familia 'tradicional' en donde mi hermano mayor, de 24 años de edad, desde que yo tenía 8 años me ha agredido sexualmente en repetidas ocasione. Por la edad, la verdad no sabía que se podía denunciar y por temor a que mis padres no me creyeran me quedé callado. Al paso de mi vida, he sido violentando verbalmente, con chantaje, psicológicamente, económicamente y hasta hoy físicamente. El 25 de octubre de este año mi hermano me ahorcó y me empezó a azotar contra la pared de este que es nuestro negocio familiar, ya que no recurrí al chantaje de ir por su medicamento, ya que el sufre de una muela picada porque se droga con marihuana pues sufre de una depresión por ser un padre ausente y un potencial feminicida. Su novia lo encubre. Mi hermano le iba a decir a mis papás que yo tengo novio, y mi madre fue testigo de todo y dijo que no fuera maricón y que me aguantará porque así siempre nos llevamos.",2021-10-25,"14:30:00",2021-11-17 03:11:13,"Ciudad de México","Iztacalco","Privado","Casa propia o casa familiar",19.3979142,-99.0980728,"No",,,"Tengo miedo de denunciar",,,,,,,,4401
"Personal","Personal","Determinada","De 26 a 30 años","Hombre","Hombre cis","Gay","Neutra","Patrona o fuente de ingreso privada","Laboral","La víctima fue sancionada o despedida injustificadamente","He sufrido hostigamiento psicológico, he sido expuesto públicamente por mis errores, y me han realizado descuentos nominales.",2021-06-16,"08:00:00",2021-11-17 03:14:39,"Nuevo León","Apodaca","Privado","Empresa u oficina privada",25.7362904,-100.2057478,"Si","Instancia privada",1,,,,,,,,,4404
"Testiga","Amiga","Determinada","De 26 a 30 años","Hombre","Hombre cis","Gay","Un poco femenina","Patrona o fuente de ingreso privada","Laboral","La víctima fue sancionada o despedida injustificadamente","Despidieron a mí amigo por su orientación sexual.",2021-11-13,"16:00:00",2021-11-17 03:18:32,"Guanajuato","León","Privado","Escuela o Universidad privada",21.141162,-101.6864512,"No",,,"No sabía en dónde denunciarlo",,,,,,,,4435
"Personal","Personal","Determinada","De 18 a 25 años","Mujer","Género fluido","Pansexual","Neutra","Familiar o cohabitante","Psicológica","La víctima fue agredida psicológicamente","Un día saliendo de la escuela, mi madre y mi abuela me llevaron a comer a Burguer King, sinceramente no recuerdo qué estábamos celebrando. Mi madre me pidió el favor de recoger la comida, pero dejé mi celular en la mesa, ella me pidió que lo encendiera y me negué, porque me sentía incómoda y porque en ese tiempo desconocían mi sexualidad. Ellas me hicieron un alboroto en el lugar y lloré muchísimo en ese momento. Al llegar a casa, me obligaron a mostrar mi celular, leyeron los mensajes donde hablaba con una chica. Me dijeron muchas cosas, cuestionaron el 'por qué tenía esos gustos'. Les expliqué que cuando era niña sufrí un abuso y aún así dijeron que no era justificación. Un día después, me dijeron que mi conducta no era normal y me llevaron a engaños con una psiquiatra. Ellos siempre me decían que no era normal, que no me portara como una machorra, que al menos decidiera si quería ser lesbiana o no, porque no existe la bisexualidad y menos la pansexualidad. Apuesto a que si se enteran que soy género fluido van a odiarme. Me dicen que respetan a los gays, pero que está mal que demuestren que lo son, y muchos comentarios homofóbicos. Muchas veces me reclaman incluso cuando no estamos hablando del tema.",2018-09-07,"16:00:00",2021-11-29 23:22:02,"Yucatán","Mérida","Privado","Casa propia o casa familiar",20.9502595,-89.5791758,"No",,,"Dependo de mi familia y más ahora. Sinceramente no podría denunciarlo aunque me hizo mucho daño, hasta tal punto que podría cambiar mis gustos por eso mismo.","Soltera","Mexicana","Preparatoria","Estudiante","Más de 1 salario mínimo hasta 2 salarios mínimos",,"Mestiza|Atea",4438
"Personal","Personal","Determinada","De 18 a 25 años","Hombre","Mujer trans","Pansexual","Un poco femenina","Compañera de escuela","A la intimidad","La víctima fue expuesta en su vida privada o datos personales","Fue un día como cualquier otro. Todo normal hasta que llegué a mi salón de clases y veo a compañeros diciéndome que soy maricón. Me dijeron que ellos tenían pruebas y que aparte en mi Facebook se veía muy fácilmente por mis gustos musicales.",2018-05-09,"16:00:00",2021-11-29 23:24:11,"Nuevo León","Guadalupe","Privado","Escuela o Universidad privada",24.494747086483,-100.65532156773,"Si","Pareja, familia o amistades de la víctima",4,,"Soltera","Mexicana","Preparatoria","Estudiante","Menor",,"Católica",4440
"Testiga","Reporte Amicus","Indeterminada",,,,"Personas no heterosexuales",,"Ministra de culto o personal de una institución religiosa","Verbal","La víctima fue agredida verbalmente","Un miembro de la iglesia (un padre) puso un tweet que decía: 'Si eres una persona con orientación homosexual recuerda que Dios te creó a su imagen y semejanza. Él te ama. No te vayas de su Iglesia para buscar relaciones homosexuales creyendo que llenarán tu alma. Sólo Dios llenará tu corazón.' El mensaje que agrede a las personas con orientación sexual no normativa y lanza un mensaje desinformado. https://twitter.com/padrehayen/status/1454599319223345156",2021-10-30,"00:01:00",2021-11-29 23:26:19,"Chihuahua","Ciudad Juárez","Redes sociales o medios de comunicación","Redes sociales",31.6903638,-106.4245478,"No",,,"Reporte Amicus",,,,,,,,4442
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","Heterosexual","Femenina","Persona no identificada","Psicológica","La víctima fue agredida psicológicamente","Mujer trans con su novio trans iban caminando por el Monumento a la Revolución y vieron que estaba rayado y decía: 'No Trans'. Pintas que presuntamente hicieron feministas radicales que hacen separatismo. Ella denunció esta pinta en Twitter. Actos como estos van contra la salud mental y fomentan un discurso de odio. https://twitter.com/JessicaMarjane/status/1456276498827169792",2021-11-04,"00:01:00",2021-11-29 23:28:40,"Ciudad de México","Cuauhtémoc","Público","Vía pública o parque público",19.4362086,-99.1546298,"No",,,"Reporte Amicus",,,,,,,,4444
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","No reportada","Femenina","Persona no identificada","Asesinato","La víctima fue asesinada","Mujer trans es asesinada en su domicilio en Ensenada, Baja California. Fue encontrada degollada después de qué reportaron su desaparición 4 días antes. https://twitter.com/FueraCloset_AC/status/1456368787721232389",2021-11-04,"00:01:00",2021-11-29 23:34:08,"Baja California","Ensenada","Privado","Casa propia o casa familiar",31.8667427,-116.5963713,"No",,,"Reporte Amicus",,,,,,,,4447
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","No reportada","No reportada","Un poco femenina","Patrona o fuente de ingreso privada","Impedimento de identidad o expresión","La víctima fue impedida de identificarse / vestirse de acuerdo a su identidad de género","Un joven fue a su trabajo usando delineador de ojos, por lo cual se le reprimió y se le pidió que no lo volviera a hacer. Sin embargo, en su contrato de trabajo jamás se especificó que no pudiera ir así. Por lo cual, denunció ante la CONAPRED. https://www.facebook.com/story.php?story_fbid=1643606135994346&amp;id=173214309700210&amp;post_id=173214309700210_1643606135994346",2021-11-06,"00:01:00",2021-11-29 23:37:12,"Ciudad de México",,"Privado","Empresa u oficina privada",19.4326077,-99.133208,"No",,,"Reporte Amicus",,,,,,,,4449
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Hombre cis","Gay","Neutra","Policía, tránsito o MP","Detención injustificada","La víctima fue detenida sin justificación","El 6 de noviembre un hombre gay en Yucatán fue acosado por la policía cuando solo iba caminando por la calle hacia su casa. Le quitaron la INE, lo dejaron ir y minutos más tarde lo rodearon 3 patrullas con algunos oficiales enmascarados y sin nombre en el uniforme. Lo subieron a la patrulla y lo amenazaron de muerte. Personas vecinas de la zona salieron y ejercieron presión para que lo dejarán ir. Aún así, fue detenido y privado de su libertad 8 horas. Afortunadamente pudo hacer llamadas antes de que lo arrestaran y llegó su familia con una abogada que interpuso un amparo y lo dejaron libre. https://twitter.com/gatogotito/status/1457802422781296641",2021-11-06,"00:01:00",2021-11-29 23:42:10,"Yucatán","Mérida","Público","Vía pública o parque público",20.9673702,-89.5925857,"No",,,"Reporte Amicus",,,,,,,,4451
"Testiga","Reporte Amicus","Indeterminada",,"Hombre",,"Gay",,"Medio de comunicación o periodista","Verbal","La víctima fue agredida verbalmente","Famosa cantante mexicana habla en una entrevista, que se publicó en la plataforma de Yotube, y dice que tuvo un 'novio que le salió gay' y que le dio miedo y se fue a hacer unos análisis. Esto perpetua el estereotipo de que las personas gays u homosexuales tienden a tener ITS. https://twitter.com/laurelyeye/status/1458811653408104448",2021-11-11,"00:01:00",2021-11-29 23:43:51,"Ciudad de México",,"Redes sociales o medios de comunicación","Redes sociales",19.4326077,-99.133208,"No",,,"Reporte Amicus",,,,,,,,4452
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","Lesbiana","Femenina","Persona no identificada","Verbal","La víctima fue agredida verbalmente","Usuaria de twitter denuncia que otra usuaria que decía que una mujer en silla de ruedas le había gritado por querer sacar a 'un vato con peluca' de un mercadito feminista. Cuando lo que sucedió es que era una mujer trans y su pareja y estas fueron las que resultaron agredidas según evidencia y testigos. En este tweet se denuncia cómo agreden a las mujeres trans y no se respeta la versión de los hechos. https://twitter.com/Rivka_Azatl/status/1459874584254193667",2021-11-14,"00:01:00",2021-11-29 23:56:31,"Jalisco","Guadalajara","Redes sociales o medios de comunicación","Redes sociales",20.6596988,-103.3496092,"No",,,"Reporte Amicus",,,,,,,,4456
"Testiga","Reporte Amicus","Indeterminada",,"Hombre","Mujer trans",,,"Persona no identificada","Verbal","La víctima fue agredida verbalmente","Usuaria en Twitter toma captura de pantalla de Facebook donde otra usuaria que se identifica como 'radfem' o 'feminista radical' hace comentario amenazando a gente trans con lanzarles ácido en la cara. https://twitter.com/OphCourse/status/1460253096098074633",2021-11-15,"00:01:00",2021-11-29 23:57:40,"Nacional",,"Redes sociales o medios de comunicación","Redes sociales",23.634501,-102.552784,"No",,,"Reporte Amicus",,,,,,,,4457
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","No reportada","Femenina","Persona no identificada","Asesinato","La víctima fue asesinada","Una mujer trans fue asesinada por dos balazos cerca del ayuntamiento del Centro de Chilpancingo. De acuerdo con reportes, la mujer se hallaba caminando cuando dos sujetos la atacaron y le dispararon.  https://www.elsoldeacapulco.com.mx/policiaca/asesinan-a-transexual-en-las-cercanias-del-ayuntamiento-de-chilpancingo-guerrero-noticia-hoy-homicidio-estado-6665410.html",2021-05-02,"00:01:00",2021-11-30 00:09:38,"Guerrero","Chilpancingo","Público","Vía pública o parque público",17.5515346,-99.5006322,"No",,,"Reporte Amicus",,,,,,,,4458
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","No reportada","Muy femenina","Persona no identificada","Asesinato","La víctima fue asesinada","Mujer trans fue asesinada. Llegaron hombres armados y la mataron a tiros en un coche deportivo. Murió en el hospital y otra mujer salió herida. https://www.am.com.mx/guanajuato/noticias/Matan-a-La-Barbie-joven-travesti-de-la-comunidad-LGBTTIQ-de-Penjamo.-20210411-0021.html",2021-04-11,"21:30:00",2021-11-30 00:12:53,"Guanajuato","Pénjamo","Público","Vía pública o parque público",20.4313532,-101.724058,"No",,,"Reporte Amicus",,,,,,,,4460
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","No reportada","Femenina","Medio de comunicación o periodista","Otra discriminación","La víctima fue cubierta en una nota de prensa que la discrimina por su orientación sexual, identidad o expresión de género","Mujer trans es asesinada y el periódico AM cubre la nota diciendo que era un 'joven travesti', cuando en realidad era una mujer trans. Esto cae en una revictimización y el no reconocimiento de su género. https://www.am.com.mx/guanajuato/noticias/Matan-a-La-Barbie-joven-travesti-de-la-comunidad-LGBTTIQ-de-Penjamo.-20210411-0021.html",2021-04-11,"00:01:00",2021-11-30 00:14:04,"Guanajuato","Pénjamo","Redes sociales o medios de comunicación","Medio de comunicación",20.4313532,-101.724058,"No",,,"Reporte Amicus",,,,,,,,4461
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","No reportada","Femenina","Persona no identificada","Asesinato","La víctima fue asesinada","Una mujer trans junto con otras dos personas fueron asesinadas. Ella presentaba huellas de tortura y se presume que fueron dos personas las que la torturaron y asesinaron. https://diario.mx/juarez/denunciancrimen-de-odio-contratransexual-20210329-1778128.html%203",2021-03-30,"00:01:00",2021-11-30 00:16:49,"Chihuahua","Ciudad Juárez","Público","Vía pública o parque público",31.6903638,-106.4245478,"No",,,"Reporte Amicus",,,,,,,,4463
"Testiga","Reporte Amicus","Determinada","De 31 a 35 años","Hombre","Mujer trans","No reportada","Femenina","Persona no identificada","Asesinato","La víctima fue asesinada","Mujer transexual de entre 30 y 35 años es asesinada por una bala en la cabeza en la calle Ballenas en Tapeixtles, Manzanillo, Colima. https://www.proceso.com.mx/nacional/estados/2021/3/20/condenan-asesinato-de-mujer-transgenero-encolima-260425.html",2021-03-20,"00:01:00",2021-11-30 00:18:08,"Colima","Manzanillo","Público","Vía pública o parque público",19.1009919,-104.3008331,"No",,,"Reporte Amicus",,,,,,,,4464
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","No reportada","Muy femenina","Persona no identificada","Asesinato","La víctima fue asesinada","Mujer trans y trabajadora sexual es asesinada en su domicilio en Cuautla, Morelos. La mataron de un balazo en la cabeza. No hay un sospechoso identificable. https://noticiasdecuautla.com/index.php/2021/03/16/asesinan-de-un-balazo-en-la-cabeza-a-travesti-en-cuautla/",2021-03-16,"00:01:00",2021-11-30 00:19:48,"Morelos","Cuautla","Privado","Casa propia o casa familiar",18.8126047,-98.9548261,"No",,,"Reporte Amicus",,,,,,,,4465
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","No reportada","Femenina","Persona no identificada","Asesinato","La víctima fue asesinada","Mujer trans estaba cruzando la avenida Miguel Alemán en Torreón cuando una camioneta de la marca Ford la atropelló. El sospechoso se dio a la fuga, un taxista lo siguió y ante esto el conductor se bajó y huyó. La mujer no ha sido identificada y murió a causa del impacto. https://www.elsiglodetorreon.com.mx/noticia/1843094.troca-a-joven-travesti.html",2021-02-22,"00:01:00",2021-11-30 00:21:30,"Coahuila","Torreón","Público","Vía pública o parque público",25.5428443,-103.4067861,"No",,,"Reporte Amicus",,,,,,,,4467
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","No reportada","Femenina","Medio de comunicación o periodista","Otra discriminación","La víctima fue cubierta en una nota de prensa que la discrimina por su orientación sexual, identidad o expresión de género","Mujer transexual fue asesinada en Torreón. El siglo de Torreón cubre la noticia y durante toda la noticia se le refiere con pronombres masculinos y se llega llega a mencionar que es 'un joven vestido como mujer'. https://www.elsiglodetorreon.com.mx/noticia/1843094.troca-a-joven-travesti.html",2021-02-22,"00:01:00",2021-11-30 00:23:16,"Coahuila","Torreón","Redes sociales o medios de comunicación","Medio de comunicación",25.5675068,-103.3888754,"No",,,"Reporte Amicus",,,,,,,,4468
"Testiga","Reporte Amicus","Determinada","De 12 a 17 años","Mujer","Hombre trans","No reportada","Neutra","Vecina","Asesinato","La víctima fue asesinada","La víctima era un hombre trans que fue apuñalado hasta su muerte en una confrontación con el novio de su hermana dentro de su propio hogar.",2020-10-04,"00:01:00",2021-11-30 00:29:54,"Ciudad de México","Iztapalapa","Privado","Casa propia o casa familiar",19.342083,-99.0532159,"No",,,"Reporte Amicus",,,,,,,,4472
"Testiga","Reporte Amicus","Determinada","De 31 a 35 años","Hombre","Mujer trans","No reportada","Neutra","Persona no identificada","Asesinato","La víctima fue asesinada","La víctima era una mujer trans que se dedicaba a prestar sus servicios como trabajadora sexual. Se presume que el agresor contrató los servicios de la víctima para golpearla hasta llevarla a la muerte y posteriormente tirar su cuerpo debajo de un puente.",2020-10-08,"00:01:00",2021-11-30 00:33:38,"Guanajuato","Villagrán","Privado","Hotel",21.0730555,-101.1938888,"No",,,"Reporte Amicus",,,,,,,,4473
"Testiga","Reporte Amicus","Determinada","De 36 a 40 años","Hombre","Mujer trans","No reportada","Neutra","Familiar o cohabitante","Asesinato","La víctima fue asesinada","La víctima, quien tuvo que cambiar de estado debido a la violencia que vivía por parte de su familia debido a su identidad de género, fue asesinada dentro de su casa.",2021-08-13,"00:01:00",2021-11-30 17:17:30,"Baja California Sur","La Paz","Privado","Casa propia o casa familiar",24.1426408,-110.3127531,"No",,,"Reporte Amicus",,,,,,,,4475
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","No reportada","Neutra","Persona no identificada","Asesinato","La víctima fue asesinada","La víctima fue torturada por su agresor hasta su muerte por su identidad de género.",2021-06-27,"00:01:00",2021-11-30 17:25:30,"Quintana Roo","Benito Juárez","Público","Espacio no idenificado",21.161908,-86.8515279,"No",,,"Reporte Amicus",,,,,,,,4480
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","Heterosexual","Femenina","Pareja","Asesinato","La víctima fue asesinada","La víctima fue asesinada por asfixia en su propia casa por su pareja.",2021-06-13,"00:01:00",2021-11-30 17:30:18,"Jalisco","El Salto","Privado","Casa propia o casa familiar",20.5178271,-103.1826862,"No",,,"Reporte Amicus",,,,,,,,4482
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","Heterosexual","Muy femenina","Pareja","Asesinato","La víctima fue asesinada","Una mujer trans fue asesinada por su pareja con un cuchillo causándole múltiples heridas en el cuello. Antes de asesinarla estuvieron en el domicilio de la víctima conviviendo con su compañero de piso. El agresor huyó del lugar. https://zetatijuana.com/2020/11/la-muerte-de-barbara-un-crimen-de-odio/",2020-10-22,"00:01:00",2021-11-30 17:36:45,"Baja California","Tijuana","Privado","Casa propia o casa familiar",32.5149469,-117.0382471,"No",,,"Reporte Amicus",,,,,,,,4484
"Testiga","Reporte Amicus","Determinada","De 36 a 40 años","Hombre","Mujer trans","No reportada","Neutra","Persona no identificada","Asesinato","La víctima fue asesinada","La víctima fue asesinada con una puñalada de navaja en el abdomen mientras caminaba por una calle de del poblado de Tlayecac, Morelos.",2021-08-09,"00:01:00",2021-11-30 17:38:25,"Morelos","Ayala","Público","Vía pública o parque público",18.7556661,-98.8812063,"No",,,"Reporte Amicus",,,,,,,,4485
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","No reportada","Neutra","Pareja","Asesinato","La víctima fue asesinada","La víctima fue apuñalada en el abdomen por su pareja sentimental. Esta herida le causó la muerte posteriormente en el hospital.",2021-05-10,"00:01:00",2021-11-30 17:40:37,"Quintana Roo","Benito Juárez","Privado","Casa propia o casa familiar",21.161908,-86.8515279,"No",,,"Reporte Amicus",,,,,,,,4488
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","No reportada","Neutra","Persona no identificada","Asesinato","La víctima fue asesinada","La víctima fue asesinada a puñaladas en una vía pública, en lo que parece ser un crimen de odio debido a su identidad de género. Su cuerpo quedó por horas en la calle antes de que fuera atendido por las autoridades.",2021-08-21,"00:01:00",2021-11-30 17:43:07,"Estado de México","Atizapán de Zaragoza","Público","Vía pública o parque público",19.5562275,-99.2674713,"No",,,"Reporte Amicus",,,,,,,,4490
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","No reportada","Muy femenina","Persona no identificada","Asesinato","La víctima fue asesinada","Mujer trans fue asesinada a balazos en su negocio, una funeraria.  https://apiguerrero.net/archivos/al-instante/38822/",2020-12-01,"00:01:00",2021-11-30 17:47:24,"Guerrero","Iguala","Privado","Empresa u oficina privada",17.8499999,-100.3666671,"No",,,"Reporte Amicus",,,,,,,,4492
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","No reportada","Muy femenina","Medio de comunicación o periodista","Otra discriminación","La víctima fue cubierta en una nota de prensa que la discrimina por su orientación sexual, identidad o expresión de género","Un medio de comunicación cubre la nota diciendo de una mujer trans asesinada refiriéndose con a ella con pronombres masculinos, además de que usan el nombre que le fue asignado al nacer en lugar del que ella utilizaba. https://apiguerrero.net/archivos/al-instante/38822/",2020-12-01,"00:01:00",2021-11-30 17:49:09,"Guerrero","Iguala","Redes sociales o medios de comunicación","Medio de comunicación",17.8499999,-100.3666671,"No",,,"Reporte Amicus",,,,,,,,4493
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","Heterosexual","Femenina","Medio de comunicación o periodista","Otra discriminación","La víctima fue cubierta en una nota de prensa que la discrimina por su orientación sexual, identidad o expresión de género","Un medio digital cubre la noticia de una mujer trans refiriéndose a ella como 'hombre vestido con ropas mujer'.  https://todotexcoco.com/hallan-muerto-a-un-travesti-en-cuarto-de-hotel-en-chilpancingo-e3TUze3zY3e3g.html",2020-11-08,"00:01:00",2021-11-30 18:43:07,"Estado de México","Texcoco","Redes sociales o medios de comunicación","Medio de comunicación",19.5060382,-98.8831503,"No",,,"Reporte Amicus",,,,,,,,4494
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","Heterosexual","Muy femenina","Persona no identificada","Asesinato","La víctima fue asesinada","Mujer trans y trabajadora sexual es asesinada a golpes y con una roca en el municipio de Chicoloapan en el Estado de México. Se sospecha que la contrataron y al saber que era trans la asesinaron. http://www.eluniversalqueretaro.mx/nacion/contrata-sexoservidor-creyendo-que-era-mujer-y-al-darse-cuenta-que-no-lo-mata-en-edomex",2020-10-14,"00:01:00",2021-11-30 18:44:32,"Estado de México","Chicoloapan","Público","Vía pública o parque público",19.4143591,-98.9062442,"No",,,"Reporte Amicus",,,,,,,,4495
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","Heterosexual","Muy femenina","Medio de comunicación o periodista","Otra discriminación","La víctima fue cubierta en una nota de prensa que la discrimina por su orientación sexual, identidad o expresión de género","Periódico de Querétaro cubre la ntoa de una mujer trans asesinada refiriéndose a ella como 'hombre'.  http://www.eluniversalqueretaro.mx/nacion/contrata-sexoservidor-creyendo-que-era-mujer-y-al-darse-cuenta-que-no-lo-mata-en-edomex",2020-10-14,"00:01:00",2021-11-30 18:46:29,"Querétaro","Querétaro","Redes sociales o medios de comunicación","Medio de comunicación",20.590418,-100.375158,"No",,,"Reporte Amicus",,,,,,,,4496
"Testiga","Reporte Amicus","Determinada","De 26 a 30 años","Hombre","Mujer trans","No reportada","Muy femenina","Persona no identificada","Asesinato","La víctima fue asesinada","Una mujer trans fue torturada, mutilada y recibió múltiples puñaladas por todo el cuerpo hasta morir. La vícitma era trabajadora sexual y fue encontrada sin vida en el hotel 'La pensión de la Bamba', se sospecha que fue alguno de sus clientes. https://agenciapresentes.org/2020/12/31/transfeminicidio-en-veracruz-a-nelly-garcia-la-mutilaron-y-la-fiscalia-no-investiga/",2020-12-28,"00:01:00",2021-11-30 18:48:48,"Veracruz","Poza Rica","Privado","Hotel",20.5270592,-97.4629119,"No",,,"Reporte Amicus",,,,,,,,4497
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","No reportada","Muy femenina","Persona no identificada","Asesinato","La víctima fue asesinada","Una mujer trans de aproximadamente 20 años fue encontrada brutalmente golpeada y con el rostro desfigurado en la avenida Zapopan en Nayarit. Fue trasladada al hospital y murió ahí. https://tdor.translivesmatter.info/reports/2021/01/17/dayanna-scarlett_tepic-nayarit-mexico_3190739c",2021-01-17,"00:01:00",2021-11-30 18:49:58,"Nayarit","Tepic","Público","Vía pública o parque público",21.5041651,-104.8945887,"No",,,"Reporte Amicus",,,,,,,,4498
"Testiga","Reporte Amicus","Determinada","De 18 a 25 años","Hombre","Mujer trans","No reportada","Femenina","Medio de comunicación o periodista","Otra discriminación","La víctima fue cubierta en una nota de prensa que la discrimina por su orientación sexual, identidad o expresión de género","Un medio digital cubre la noticia del asesinato de una mujer trans con expresiones como: 'Localizan a sujeto vestido con ropa de mujer sin vida en Texcoco' y 'un hombre con ropa femenina'. https://todotexcoco.com/localizan-a-sujeto-vestido-con-ropa-de-mujer-sin-vida-en-texcoco-e3TU0NDE4Ng.html",2021-11-27,"00:01:00",2021-11-30 18:54:56,"Estado de México","Texcoco","Redes sociales o medios de comunicación","Medio de comunicación",19.5060382,-98.8831503,"No",,,"Reporte Amicus",,,,,,,,4501
